Time,Slice
0,1
425,2
52,3
480,4
105,5
532,6
160,7
585,8
212,9
640,10
265,11
692,12
320,13
745,14
372,15
0,16
425,17
52,18
480,19
105,20
532,21
160,22
585,23
212,24
640,25
265,26
692,27
320,28
745,29
372,30
0,31
425,32
52,33
480,34
105,35
532,36
160,37
585,38
212,39
640,40
265,41
692,42
320,43
745,44
372,45
0,46
425,47
52,48
480,49
105,50
532,51
160,52
585,53
212,54
640,55
265,56
692,57
320,58
745,59
372,60
0,61
425,62
52,63
480,64
105,65
532,66
160,67
585,68
212,69
640,70
265,71
692,72
320,73
745,74
372,75
